MetricId,Metric,State,Interpretatoin,Remarks,MatricMapping
1a.1.1,Number of operating systems supported,REMOVED,,,
1a.1.2,Support for Function and Class Components,ADDED,1,,"No=1
Yes=5"
1a.1.3,Adoption of React Suspense ,ADDED,1,,"Implementation available=5
Planned=3
No=1"
1a.2.1,Time required for installation,REMOVED,,Irrelevant for npm packages. They all take roughly the same time to install,
1a.2.2,Availability of the installation manual,KEPT,1,,"No=1
Yes=5"
1a.2.3,Automation level and use of installation scripts,REMOVED,,,
1a.2.4,Dependence on third-party components,KEPT,0,,"0=1
1-5=2
5-10=3
10-15=4
15-20=5"
1a.2.5,Nominal length of the installation procedures,REMOVED,,Repetitive: see 1a.2.1,
1a.2.6,Number of configuration files Minimum number of files added and changed for minimum functionality,CHANGED,0,,"One file=1
Two files = 3
Three and higer=5"
1a.2.7,Availability and rationality of default options,CHANGED,1,,"No default options=1
Default options provided=3
Useful/rational default options provided=5"
1a.2.8,Internationalisation of the manual,KEPT,1,,"Multiple languages supported=5
English supported=3
Only non-english language supported=1"
1a.2.9,Number of unforeseen issues,KEPT,0,,"Zeo issues=1
Two/Three issues=3
More issues=5"
1a.2.10,Degree of knowledge of the required operating environment,KEPT,0,,"Little previous knowledge required=1
Medium knowledge required=3
Understanding of a paradigm required=5"
1a.2.11,Efficacy of the guide,KEPT,1,,"Installation guide non existing=1
Installation guide available=5"
1a.3.1,Existence of other libraries with the same functionality and a similar API,ADDED,1,,"No equivalent library available=1
< 3 Similar libraries available=3
3+ similar libraries available=5"
,,,,,
1b.1.1,Availability and quality of developer tools,ADDED,1,,"No=1
Yes=3
Yes, with advanced debugging features=5"
,// because libraries cannot be changed by definition,,,,
1b.3.1,Possibility to test business logic without React,ADDED,1,,"No=1
Yes=5"
,"// ambiguous term: ""Technology concentration""",,,,
1b.5.1,Breaking API changes,ADDED,1,,"Breaking API changes in major versions=1
Breaking API  changes in major versions with migrations guide=3
Breaking API  changes in major versions with migration guide and codemod=4
No breaking API changes introduced major update=5"
1b.6.1,Code duplication,ADDED,0,,"0=1
1-10=2
10-20=3
10-30=4
30+=5"
1b.6.2,Cyclomatic complexity,ADDED,0,,"0-92=1(Base 82)
92-102=2
102-112=3
112-122=4
122+=5"
1b.6.3,Cognitive complexity,ADDED,0,,"1-10=1
11-20=2
21-50=4
Over 50=5"
,// non applicable to domain,,,,
,// non applicable to domain,,,,
1d.1.1,Possibility to share state without prop drilling.,ADDED,1,,"No=1
Yes=5"
1d.1.2,Possibility to have derived state.,ADDED,1,,"No=1
Yes, through React=3
Yes=5"
1d.2.1,Level of data importability,REMOVED,,,
1d.2.2,Level of data exportability,REMOVED,,,
1d.2.3,Availability of community plugins,ADDED,1,,"No=1
Yes=5"
1d.3.1,Lines of code,ADDED,0,,"0-685=1
685-710=2
710-735=3
735-760=4
760+=5"
1d.3.2,Statement count,ADDED,0,,"0-114=1
114-124=2
124-144=3
134-144=4
Over 144=5"
1d.3.3,Functions count,ADDED,0,,"0-59=1
59-69=2
69-79=3
79-89=4
Over 89=5"
,// non applicable to domain,,,,
1e.2.1,Availability and quality of developer tools (same as 1b.1.1),ADDED,1,,"No=1
Yes=3
Yes, with advanced debugging features=5"
,// non applicable to domain,,,,
-,Same metrics as in Question 2.5,ADDED,,,-
1f.1.1,First Contentful Paint,ADDED,0,,"0-1.8=1
1.8-3=3
Over 3=5"
1f.1.2,Speed Index,ADDED,0,,"0–3.4=1
3.4–5.8=3
Over 5.8=5"
1f.1.3,Largest Contentful Paint,ADDED,0,,"0–2.5=1
2.5–4=3
Over 4=5"
1f.1.4,Time to Interactive,ADDED,0,,"0–3.8=1
3.8–7.3=3
Over 7.3=5"
1f.1.5,Total Blocking Time,ADDED,0,,"0–200=1
200–600=3
Over 600=5"
1f.1.6,Cumulative Layout Shift,ADDED,0,,"0–0.1=1
0.1–0.25=3
Over 0.25=5"
1f.2.1,Efficient re-renders,ADDED,1,,"Redundant re-renders=1
Suboptimal re-renders=3
Optimal re-renders=5"
2.1.1,Number of committers,KEPT,1,,"0-100=1
100-200=2
200-300=3
300-400=4
Over 400=5"
2.2.1,Number of major releases per year,REMOVED,,,
2.2.2,Average number of commits per year,KEPT,1,,"0=1
1-10=2
10-100=3
100-1000=4
Over 1000=5"
2.2.3,Average number of commits per committer,KEPT,1,More homogeonous devs. (doesn't rely on a selected few),"0-2.5=1
2.5-5=2
5-7.5=3
7.5-10=4
Over 10=5"
2.2.4,Closed bugs index issues on GitHub,CHANGED,1,: closed issues on github,"0-250=1
250-500=2
500-750=3
750-1000=4
Over 1000=5"
2.2.5,Index of satisfied requests merged pull requests on GitHub,CHANGED,1,,"0-250=1
250-500=2
500-750=3
750-1000=4
Over 1000=5"
2.3.1,Average number of threads per year on StackOverflow,KEPT,1,In stackoverflow,"0-200=1
200-400=2
400-600=3
600-800=4
Over 800=5"
