MetricId,Metric,MatricMapping
1a.1.1,Number of operating systems supported,
1a.1.2,Support for Function and Class Components,"No=1
Yes=5"
1a.1.3,Adoption of React Suspense ,"Implementation available=5
Planned=3
No=1"
1a.2.1,Time required for installation,
1a.2.2,Availability of the installation manual,"No=1
Yes=5"
1a.2.3,Automation level and use of installation scripts,
1a.2.4,Dependence on third-party components,"0=1
1-5=2
5-10=3
10-15=4
15-20=5"
1a.2.5,Nominal length of the installation procedures,
1a.2.6,Number of configuration files Minimum number of files added and changed for minimum functionality,"One file=1
Two files = 3
Three and higer=5"
1a.2.7,Availability and rationality of default options,"No default options=1
Default options provided=3
Useful/rational default options provided=5"
1a.2.8,Internationalisation of the manual,"Multiple languages supported=5
English supported=3
Only non-english language supported=1"
1a.2.9,Number of unforeseen issues,"Zeo issues=1
Two/Three issues=3
More issues=5"
1a.2.10,Degree of knowledge of the required operating environment,"Little previous knowledge required=1
Medium knowledge required=3
Understanding of a paradigm required=5"
1a.2.11,Efficacy of the guide,"Installation guide non existing=1
Installation guide available=5"
1a.3.1,Existence of other libraries with the same functionality and a similar API,"No equivalent library available=1
< 3 Similar libraries available=3
3+ similar libraries available=5"
,,
1b.1.1,Availability and quality of developer tools,"No=1
Yes=3
Yes, with advanced debugging features=5"
,// because libraries cannot be changed by definition,
1b.3.1,Possibility to test business logic without React,"No=1
Yes=5"
,"// ambiguous term: ""Technology concentration""",
1b.5.1,Breaking API changes,"Breaking API changes in major versions=1
Breaking API  changes in major versions with migrations guide=3
Breaking API  changes in major versions with migration guide and codemod=4
No breaking API changes introduced major update=5"
1b.6.1,Code duplication,"0=1
1-10=2
10-20=3
10-30=4
30+=5"
1b.6.2,Cyclomatic complexity,"0-92=1(Base 82)
92-102=2
102-112=3
112-122=4
122+=5"
1b.6.3,Cognitive complexity,"1-10=1
11-20=2
21-50=4
Over 50=5"
,// non applicable to domain,
,// non applicable to domain,
1d.1.1,Possibility to share state without prop drilling.,"No=1
Yes=5"
1d.1.2,Possibility to have derived state.,"No=1
Yes, through React=3
Yes=5"
1d.2.1,Level of data importability,
1d.2.2,Level of data exportability,
1d.2.3,Availability of community plugins,"No=1
Yes=5"
1d.3.1,Lines of code,"0-685=1
685-710=2
710-735=3
735-760=4
760+=5"
1d.3.2,Statement count,"0-114=1
114-124=2
124-144=3
134-144=4
Over 144=5"
1d.3.3,Functions count,"0-59=1
59-69=2
69-79=3
79-89=4
Over 89=5"
,// non applicable to domain,
1e.2.1,Availability and quality of developer tools (same as 1b.1.1),"No=1
Yes=3
Yes, with advanced debugging features=5"
,// non applicable to domain,
-,Same metrics as in Question 2.5,-
