,GoalId,Goal,QuestionId,Question,QuestionState,QuestionRelevance,MetricId,Metric,Metric state,"MetricInterpretation (0=bad, 1=good)","Metric remarks, clarifications, source",MatricMapping,React Query raw metrics,React Context raw metrics,Redux Toolkit raw metrics,Recoil raw metrics,MobX raw metrics,React Query mapped metrics,React Context mapped metrics,Redux Toolkit mapped metrics,Recoil mapped metrics,MobX mapped metrics,,GoalId,Goal,QuestionId,Question,QuestionRelevance,,QuestionId,Question,React Query,React Context,Redux Toolkit,Recoil,MobX,,Id,Goal,React Query,React Context,Redux Toolkit,Recoil,MobX
,1a,Portability,1a.1,Adaptability,KEPT,2,1a.1.1,Number of operating systems supported,REMOVED,,,,,,,,,,,,,,,1a,Portability,1a.1,Adaptability,2,,1a.1,Adaptability,3,5,4,3,3,,1f,Efficiency,3.8,2.6,3.8,5,5
,,,,,,,1a.1.2,Support for Function and Class Components,ADDED,1,,"No=1
Yes=5",No,Yes,Yes,No,Yes,1,5,5,1,5,,,,1a.2,Installability,1,,1a.2,Installability,4.25,4,3.625,3.75,4.25,,1e,Usability, 4.33 , 3.67 ,5,5, 4.33 
,,,,,,,1a.1.3,Adoption of React Suspense ,ADDED,1,,"Implementation available=5
Planned=3
No=1",Beta implementation available,Implementation available by definition,Planned,Implementation available,No,5,5,3,5,1,,,,1a.3,Replaceability,2,,1a.3,Replaceability,5,5,5,3,1,,1d,Functionallity, 3.19 , 2.67 , 4.05 , 3.10 , 3.38 
,,,1a.2,Installability,KEPT,1,1a.2.1,Time required for installation,REMOVED,,Irrelevant for npm packages. They all take roughly the same time to install,,,,,,,,,,,,,1b,Maintainability,1b.1,Analyzability,2,,1b.1,Analyzability,3,3,5,5,3,,1b,Maintainability, 2.83 , 2.08 , 4.58 ,3.5, 3.83 
,,,,,,,1a.2.2,Availability of the installation manual,KEPT,1,,"No=1
Yes=5",Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,,,,1b.3,Testability,2,,1b.3,Testability,1,1,5,5,5,,1a,Portability,4.05,4.8,4.325,3.15,2.45
,,,,,,,1a.2.3,Automation level and use of installation scripts,REMOVED,,,,,,,,,,,,,,,,,1b.5,Stability,2,,1b.5,Stability,4,1,5,1,4,,,,,,,,
,,,,,,,1a.2.4,Dependence on third-party components,KEPT,0,,"0=1
1-5=2
5-10=3
10-15=4
15-20=5",0,0,4,0,0,1,1,2,1,1,,,,1b.6,How maintainable is the application code using the product?,2,,1b.6,How maintainable is the application code using the product?,3.333333333,3.333333333,3.333333333,3,3.333333333,,Id,Goal,React Query,React Context,Redux Toolkit,Recoil,MobX
,,,,,,,1a.2.5,Nominal length of the installation procedures,REMOVED,,Repetitive: see 1a.2.1,,,,,,,,,,,,,1d,Functionallity,1d.1,Functional adequacy,3,,1d.1,Functional adequacy,5,4,5,5,5,,1,Software Product Quality, 3.64 , 3.16 , 4.35 , 3.95 , 3.80 
,,,,,,,1a.2.6,Number of configuration files Minimum number of files added and changed for minimum functionality,CHANGED,0,,"One file=1
Two files = 3
Three and higer=5",2 (App.js for adding QueryProvider + usage in component),2 (App.js for adding ContextProvider + usage in component),"4 (defining Store,adding StoreProvider in App.js, defining slice, usage in component))",2 (App.js for adding RecoilRoot + usage in component),"2 (store definition, usage in component)",3,3,5,3,3,,,,1d.2,Interoperability,2,,1d.2,Interoperability,1,1,5,1,1,,2,Comunity trustworthiness, 4.14 , 3.73 , 3.36 , 3.18 , 3.68 
,,,,,,,1a.2.7,Availability and rationality of default options,CHANGED,1,,"No default options=1
Default options provided=3
Useful/rational default options provided=5",Useful/rational default options provided,No default options,Useful/rational default options provided,No default options,No default options,5,1,5,1,1,,,,1d.3,Functional accuracy,2,,1d.3,Functional accuracy,2.666666667,2.333333333,1.666666667,2.333333333,3.333333333,,3,Product attractiveness, 4.61 , 4.44 , 4.56 , 2.50 , 4.33 
,,,,,,,1a.2.8,Internationalisation of the manual,KEPT,1,,"Multiple languages supported=5
English supported=3
Only non-english language supported=1",English supported,Multiple languages supported,English supported,Multiple languages supported,Multiple languages supported,3,5,3,5,5,,1e,Usability,1e.2,Operability,1,,1e.2,Operability,3,3,5,5,3,,,,,,,,
